yearweek_dt,unit_sales_FOODS_2_044,unit_sales_FOODS_3_030,unit_sales_FOODS_3_185,unit_sales_FOODS_3_393,unit_sales_HOBBIES_1_418,unit_sales_HOUSEHOLD_1_219,unit_sales_HOUSEHOLD_1_416,sell_price_FOODS_2_044,sell_price_FOODS_3_030,sell_price_FOODS_3_185,sell_price_FOODS_3_393,sell_price_HOBBIES_1_418,sell_price_HOUSEHOLD_1_219,sell_price_HOUSEHOLD_1_416,month,yearmonth,wm_yr_wk,yeariso,weekiso,CCI_USA,event_name_1,event_name_2,snap_CA
2011-01-30,0.0,82.0,0.0,0.0,0.0,0.0,2.0,2.98,1.0,,,,,3.32,January,201101,11101,2011,4,98.48273,,,0.0
2011-02-06,3.0,728.0,0.0,0.0,0.0,0.0,8.0,2.98,1.0,,,,,3.32,February,201102,11102,2011,5,98.4304,SuperBowl,,1.0
2011-02-13,2.0,249.0,0.0,0.0,0.0,0.0,8.0,2.48,1.0,,,,,3.32,February,201102,11103,2011,6,98.4304,,,0.0
2011-02-20,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.48,1.0,,,,,3.32,February,201102,11104,2011,7,98.4304,,,0.0
2011-02-27,3.0,0.0,0.0,0.0,0.0,0.0,7.0,2.48,1.0,,,,,3.32,February,201102,11105,2011,8,98.4304,,,0.0
2011-03-06,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.48,1.0,,,,,3.32,March,201103,11106,2011,9,98.17056,,,1.0
2011-03-13,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.48,1.0,,,,,3.32,March,201103,11107,2011,10,98.17056,,,0.0
2011-03-20,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.48,1.0,,,,,3.32,March,201103,11108,2011,11,98.17056,Purim End,,0.0
2011-03-27,8.0,0.0,0.0,0.0,0.0,0.0,7.0,2.48,1.0,,,,,3.32,March,201103,11109,2011,12,98.17056,,,0.0
2011-04-03,7.0,0.0,0.0,0.0,0.0,0.0,8.0,2.48,1.0,,,,,3.32,April,201104,11110,2011,13,98.10826,,,1.0
2011-04-10,8.0,0.0,0.0,0.0,0.0,0.0,5.0,2.48,1.0,,,,,3.32,April,201104,11111,2011,14,98.10826,,,1.0
2011-04-17,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.48,1.0,,,,,3.32,April,201104,11112,2011,15,98.10826,,,0.0
2011-04-24,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.48,1.0,,,,,3.32,April,201104,11113,2011,16,98.10826,OrthodoxEaster,Easter,0.0
2011-05-01,12.0,0.0,0.0,0.0,0.0,0.0,4.0,2.48,1.0,,,,,3.32,May,201105,11114,2011,17,98.09151,,,1.0
2011-05-08,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.48,1.0,,,,,3.32,May,201105,11115,2011,18,98.09151,Mother's day,,1.0
2011-05-15,9.0,0.0,0.0,0.0,0.0,0.0,3.0,2.48,1.0,,,,,3.32,May,201105,11116,2011,19,98.09151,,,0.0
2011-05-22,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.48,1.0,,,,,3.17,May,201105,11117,2011,20,98.09151,,,0.0
2011-05-29,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.48,1.0,,,,,3.17,May,201105,11118,2011,21,98.09151,,,0.0
2011-06-05,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.53,1.0,,,,,3.17,June,201106,11119,2011,22,97.76377,,,1.0
2011-06-12,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,1.0,,,,,3.17,June,201106,11120,2011,23,97.76377,NBAFinalsEnd,,0.0
2011-06-19,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,1.0,,,,,3.17,June,201106,11121,2011,24,97.76377,Father's day,,0.0
2011-06-26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,1.0,,,,,3.17,June,201106,11122,2011,25,97.76377,,,0.0
2011-07-03,7.0,0.0,0.0,0.0,0.0,0.0,10.0,2.53,1.0,,,,,3.17,July,201107,11123,2011,26,97.14838,,,1.0
2011-07-10,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.53,1.0,,,,,3.17,July,201107,11124,2011,27,97.14838,,,1.0
2011-07-17,8.0,0.0,0.0,0.0,0.0,0.0,10.0,2.53,1.0,,,,,3.17,July,201107,11125,2011,28,97.14838,,,0.0
2011-07-24,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.53,1.0,,,,,3.17,July,201107,11126,2011,29,97.14838,,,0.0
2011-07-31,4.0,0.0,0.0,0.0,0.0,0.0,15.0,2.53,1.0,,,,,3.17,July,201107,11127,2011,30,97.14838,,,0.0
2011-08-07,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.53,1.0,,,,,3.17,August,201108,11128,2011,31,96.62312,,,1.0
2011-08-14,4.0,0.0,0.0,0.0,0.0,0.0,20.0,2.53,1.0,,,,,3.17,August,201108,11129,2011,32,96.62312,,,0.0
2011-08-21,6.0,0.0,0.0,0.0,0.0,0.0,24.0,2.53,1.0,,,,,3.17,August,201108,11130,2011,33,96.62312,,,0.0
2011-08-28,8.0,0.0,0.0,0.0,0.0,0.0,21.0,2.53,1.0,,,,,3.17,August,201108,11131,2011,34,96.62312,,,0.0
2011-09-04,6.0,0.0,0.0,0.0,2.0,0.0,28.0,2.53,1.0,,,3.74,,3.17,September,201109,11132,2011,35,96.55147,,,1.0
2011-09-11,7.0,0.0,0.0,0.0,0.0,0.0,31.0,2.5,1.0,,,3.74,,3.17,September,201109,11133,2011,36,96.55147,,,0.0
2011-09-18,8.0,0.0,0.0,0.0,0.0,0.0,28.0,2.5,1.28,,,3.74,,3.17,September,201109,11134,2011,37,96.55147,,,0.0
2011-09-25,0.0,66.0,0.0,0.0,5.0,0.0,45.0,2.5,1.28,,,3.74,,3.17,September,201109,11135,2011,38,96.55147,,,0.0
2011-10-02,0.0,136.0,0.0,0.0,2.0,0.0,40.0,2.5,1.28,,,3.74,,3.17,October,201110,11136,2011,39,96.79858,,,1.0
2011-10-09,0.0,100.0,0.0,0.0,5.0,0.0,18.0,2.5,1.28,,,3.74,,3.28,October,201110,11137,2011,40,96.79858,,,1.0
2011-10-16,0.0,106.0,0.0,0.0,1.0,0.0,21.0,2.5,1.28,,,3.74,,3.28,October,201110,11138,2011,41,96.79858,,,0.0
2011-10-23,0.0,59.0,0.0,0.0,0.0,0.0,27.0,2.5,1.28,,,3.74,,3.28,October,201110,11139,2011,42,96.79858,,,0.0
2011-10-30,1.0,61.0,0.0,0.0,0.0,0.0,17.0,2.5,1.28,,,3.74,,3.28,October,201110,11140,2011,43,96.79858,,,0.0
2011-11-06,8.0,86.0,0.0,0.0,2.0,0.0,12.0,2.5,1.28,,,3.74,,3.28,November,201111,11141,2011,44,97.26977,,,1.0
2011-11-13,13.0,105.0,0.0,0.0,3.0,0.0,18.0,2.5,1.28,,,3.74,,3.28,November,201111,11142,2011,45,97.26977,,,0.0
2011-11-20,8.0,33.0,0.0,0.0,5.0,0.0,9.0,2.5,1.28,,,3.74,,3.28,November,201111,11143,2011,46,97.26977,,,0.0
2011-11-27,5.0,85.0,0.0,0.0,2.0,0.0,6.0,2.5,1.28,,,3.74,,3.28,November,201111,11144,2011,47,97.26977,,,0.0
2011-12-04,5.0,76.0,0.0,0.0,3.0,0.0,7.0,2.5,1.28,,,3.74,,3.28,December,201112,11145,2011,48,97.8526,,,1.0
2011-12-11,19.0,74.0,0.0,0.0,0.0,0.0,5.0,2.5,1.28,,,3.74,,3.28,December,201112,11146,2011,49,97.8526,,,0.0
2011-12-18,5.0,79.0,0.0,0.0,0.0,0.0,7.0,2.5,1.28,,,3.74,,3.28,December,201112,11147,2011,50,97.8526,,,0.0
2011-12-25,6.0,99.0,0.0,0.0,1.0,0.0,4.0,2.5,1.28,,,3.74,,3.28,December,201112,11148,2011,51,97.8526,Christmas,,0.0
2012-01-01,6.0,157.0,0.0,0.0,0.0,0.0,3.0,2.53,1.28,,,3.74,,3.28,January,201101,11149,2011,52,98.48273,,,0.0
2012-01-08,9.0,98.0,0.0,0.0,0.0,0.0,1.0,2.53,1.28,,,3.74,,3.47,January,201201,11150,2012,1,98.34948,,,0.0
2012-01-15,8.0,91.0,0.0,0.0,1.0,0.0,3.0,2.53,1.28,,,3.74,,3.47,January,201201,11151,2012,2,98.34948,,,0.0
2012-01-22,7.0,98.0,0.0,0.0,0.0,0.0,5.0,2.53,1.28,2.48,,3.74,,3.47,January,201201,11152,2012,3,98.34948,,,0.0
2012-01-29,6.0,93.0,22.0,0.0,1.0,0.0,2.0,2.53,1.28,2.48,,3.74,,3.47,January,201201,11201,2012,4,98.34948,,,0.0
2012-02-05,8.0,120.0,44.0,0.0,0.0,0.0,3.0,2.53,1.28,2.48,,3.74,,3.47,February,201202,11202,2012,5,98.6265,SuperBowl,,1.0
2012-02-12,4.0,106.0,33.0,0.0,2.0,3.0,3.0,2.53,1.28,2.48,,3.74,6.98,3.47,February,201202,11203,2012,6,98.6265,,,0.0
2012-02-19,5.0,113.0,26.0,0.0,2.0,6.0,6.0,2.5,1.28,2.48,,3.74,6.98,3.47,February,201202,11204,2012,7,98.6265,,,0.0
2012-02-26,6.0,74.0,18.0,0.0,2.0,7.0,2.0,2.5,1.38,2.48,,3.74,6.98,3.47,February,201202,11205,2012,8,98.6265,,,0.0
2012-03-04,7.0,169.0,9.0,0.0,0.0,9.0,4.0,2.5,1.38,2.48,,3.74,6.98,3.47,March,201203,11206,2012,9,98.75999,,,1.0
2012-03-11,6.0,139.0,26.0,0.0,0.0,6.0,5.0,2.5,1.38,2.48,,3.74,6.98,3.47,March,201203,11207,2012,10,98.75999,,,0.0
2012-03-18,4.0,161.0,16.0,0.0,6.0,5.0,6.0,2.5,1.38,2.48,,3.74,6.98,3.47,March,201203,11208,2012,11,98.75999,,,0.0
2012-03-25,6.0,131.0,19.0,0.0,2.0,8.0,3.0,2.5,1.38,2.48,,3.74,6.98,3.47,March,201203,11209,2012,12,98.75999,,,0.0
2012-04-01,5.0,95.0,12.0,0.0,1.0,10.0,3.0,2.5,1.38,2.48,,3.74,6.98,3.47,April,201204,11210,2012,13,98.7974,,,1.0
2012-04-08,5.0,80.0,35.0,0.0,4.0,11.0,4.0,2.5,1.38,2.48,,3.74,6.98,3.47,April,201204,11211,2012,14,98.7974,Easter,,1.0
2012-04-15,4.0,65.0,33.0,0.0,1.0,10.0,2.0,2.5,1.38,2.48,,3.74,6.98,3.47,April,201204,11212,2012,15,98.7974,OrthodoxEaster,,0.0
2012-04-22,6.0,59.0,23.0,0.0,3.0,4.0,7.0,2.5,1.38,2.48,,3.74,6.98,3.47,April,201204,11213,2012,16,98.7974,,,0.0
2012-04-29,2.0,37.0,28.0,0.0,1.0,7.0,2.0,2.5,1.28,2.48,,3.74,6.98,3.47,April,201204,11214,2012,17,98.7974,,,0.0
2012-05-06,3.0,101.0,31.0,0.0,4.0,9.0,15.0,2.5,1.28,2.48,,3.74,6.98,3.47,May,201205,11215,2012,18,98.7373,,,1.0
2012-05-13,4.0,88.0,25.0,0.0,9.0,13.0,10.0,2.5,1.28,2.48,,3.74,6.98,3.47,May,201205,11216,2012,19,98.7373,Mother's day,,0.0
2012-05-20,2.0,65.0,33.0,0.0,1.0,5.0,9.0,2.5,1.28,2.48,,3.74,6.98,3.47,May,201205,11217,2012,20,98.7373,,,0.0
2012-05-27,2.0,84.0,10.0,0.0,0.0,13.0,10.0,2.5,1.28,2.48,,3.74,6.98,3.47,May,201205,11218,2012,21,98.7373,,,0.0
2012-06-03,8.0,59.0,7.0,0.0,0.0,8.0,10.0,2.5,1.28,2.48,,3.74,6.98,3.47,June,201206,11219,2012,22,98.51726,,,1.0
2012-06-10,7.0,105.0,10.0,0.0,4.0,7.0,25.0,2.5,1.28,2.48,,3.74,6.98,3.47,June,201206,11220,2012,23,98.51726,,,1.0
2012-06-17,8.0,51.0,10.0,0.0,2.0,13.0,23.0,2.5,1.28,2.48,,3.74,6.98,3.47,June,201206,11221,2012,24,98.51726,Father's day,,0.0
2012-06-24,9.0,54.0,15.0,0.0,5.0,12.0,7.0,2.5,1.28,2.48,,3.74,6.98,3.47,June,201206,11222,2012,25,98.51726,,,0.0
2012-07-01,2.0,77.0,21.0,0.0,3.0,7.0,18.0,2.5,1.28,2.48,,3.74,6.98,3.47,July,201207,11223,2012,26,98.43972,,,1.0
2012-07-08,6.0,91.0,9.0,0.0,4.0,3.0,30.0,2.5,1.28,2.48,,3.74,6.98,3.47,July,201207,11224,2012,27,98.43972,,,1.0
2012-07-15,8.0,75.0,6.0,0.0,2.0,5.0,49.0,2.5,1.28,2.48,,3.74,6.98,3.47,July,201207,11225,2012,28,98.43972,,,0.0
2012-07-22,6.0,57.0,15.0,0.0,0.0,3.0,34.0,2.5,1.28,2.48,,3.74,6.98,3.47,July,201207,11226,2012,29,98.43972,,,0.0
2012-07-29,10.0,60.0,6.0,0.0,7.0,5.0,36.0,2.5,1.28,2.48,,3.74,6.98,3.47,July,201207,11227,2012,30,98.43972,,,0.0
2012-08-05,5.0,72.0,11.0,0.0,5.0,18.0,29.0,2.5,1.28,2.48,,3.74,6.98,3.47,August,201208,11228,2012,31,98.62255,,,1.0
2012-08-12,9.0,85.0,16.0,0.0,1.0,9.0,20.0,2.5,1.28,2.48,,3.74,6.98,3.47,August,201208,11229,2012,32,98.62255,,,0.0
2012-08-19,8.0,76.0,19.0,0.0,0.0,11.0,65.0,2.5,1.28,2.48,,3.74,6.98,3.47,August,201208,11230,2012,33,98.62255,Eid al-Fitr,,0.0
2012-08-26,5.0,91.0,17.0,0.0,1.0,16.0,49.0,2.5,1.28,2.48,,3.74,6.98,3.47,August,201208,11231,2012,34,98.62255,,,0.0
2012-09-02,11.0,76.0,16.0,0.0,1.0,0.0,36.0,2.5,1.28,2.48,,3.74,6.98,3.47,September,201209,11232,2012,35,98.96298,,,1.0
2012-09-09,8.0,80.0,21.0,0.0,4.0,10.0,29.0,2.5,1.28,2.48,,3.74,6.98,3.47,September,201209,11233,2012,36,98.96298,,,1.0
2012-09-16,5.0,80.0,12.0,0.0,1.0,17.0,20.0,2.5,1.28,2.48,,3.74,6.98,3.47,September,201209,11234,2012,37,98.96298,,,0.0
2012-09-23,6.0,63.0,15.0,0.0,7.0,15.0,13.0,2.5,1.28,2.48,,3.74,6.98,3.47,September,201209,11235,2012,38,98.96298,,,0.0
2012-09-30,4.0,68.0,11.0,0.0,2.0,10.0,15.0,2.5,1.28,2.48,,3.74,6.98,3.47,September,201209,11236,2012,39,98.96298,,,0.0
2012-10-07,11.0,99.0,11.0,0.0,0.0,6.0,35.0,2.5,1.28,2.48,,3.74,6.98,3.47,October,201210,11237,2012,40,99.20711,,,1.0
2012-10-14,4.0,86.0,8.0,0.0,3.0,6.0,15.0,2.5,1.28,2.48,,3.74,6.98,3.47,October,201210,11238,2012,41,99.20711,,,0.0
2012-10-21,1.0,70.0,9.0,0.0,3.0,0.0,13.0,2.5,1.28,2.48,,3.74,6.98,3.47,October,201210,11239,2012,42,99.20711,,,0.0
2012-10-28,0.0,56.0,7.0,0.0,4.0,11.0,23.0,2.5,1.28,2.48,,3.74,6.98,3.47,October,201210,11240,2012,43,99.20711,,,0.0
2012-11-04,2.0,79.0,13.0,0.0,0.0,16.0,22.0,2.5,1.28,2.48,,3.74,6.98,3.47,November,201211,11241,2012,44,99.11413,,,1.0
2012-11-11,6.0,71.0,11.0,0.0,3.0,21.0,18.0,2.5,1.28,2.48,,3.74,6.98,3.47,November,201211,11242,2012,45,99.11413,VeteransDay,,0.0
2012-11-18,11.0,56.0,5.0,0.0,1.0,12.0,8.0,2.5,1.28,2.48,,3.74,6.98,3.47,November,201211,11243,2012,46,99.11413,,,0.0
2012-11-25,1.0,79.0,5.0,0.0,2.0,0.0,14.0,2.5,1.28,2.48,,3.74,6.98,3.47,November,201211,11244,2012,47,99.11413,,,0.0
2012-12-02,8.0,68.0,6.0,0.0,2.0,7.0,9.0,2.5,1.28,2.48,,3.74,6.98,3.47,December,201212,11245,2012,48,98.75469,,,1.0
2012-12-09,5.0,63.0,5.0,0.0,0.0,14.0,15.0,2.5,1.28,2.48,,3.74,6.98,3.47,December,201212,11246,2012,49,98.75469,,,1.0
2012-12-16,13.0,58.0,4.0,0.0,2.0,18.0,10.0,2.5,1.28,2.48,,3.74,6.98,3.47,December,201212,11247,2012,50,98.75469,Chanukah End,,0.0
2012-12-23,7.0,86.0,0.0,0.0,2.0,14.0,16.0,2.5,1.28,2.48,,3.74,6.98,3.47,December,201212,11248,2012,51,98.75469,,,0.0
2012-12-30,3.0,119.0,0.0,0.0,3.0,6.0,13.0,2.5,1.28,2.48,,3.74,6.98,3.47,December,201212,11249,2012,52,98.75469,,,0.0
2013-01-13,9.0,160.0,3.0,0.0,3.0,7.0,6.0,2.5,1.28,2.48,,3.74,6.98,3.47,January,201301,11250,2013,1,98.61649,,,0.0
2013-01-20,9.0,106.0,2.0,0.0,1.0,5.0,12.0,2.5,1.28,2.48,,3.74,6.98,3.47,January,201301,11251,2013,2,98.61649,,,0.0
2013-01-27,11.0,100.0,1.0,0.0,2.0,0.0,10.0,2.5,1.28,2.48,,3.74,6.98,3.47,January,201301,11252,2013,3,98.61649,,,0.0
2013-02-03,10.0,85.0,1.0,0.0,1.0,1.0,11.0,2.5,1.28,2.48,,3.74,6.98,3.47,January,201301,11301,2013,4,98.61649,,,0.0
2013-02-10,1.0,170.0,0.0,9.0,1.0,11.0,7.0,2.5,1.28,2.48,3.5,3.74,6.98,3.47,February,201302,11302,2013,5,98.72734,SuperBowl,,1.0
2013-02-17,9.0,48.0,0.0,15.0,0.0,0.0,3.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,February,201302,11303,2013,6,98.72734,,,1.0
2013-02-24,5.0,45.0,0.0,21.0,3.0,0.0,4.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,February,201302,11304,2013,7,98.72734,,,0.0
2013-03-03,5.0,56.0,0.0,20.0,3.0,0.0,5.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,February,201302,11305,2013,8,98.72734,Purim End,,0.0
2013-03-10,7.0,77.0,0.0,28.0,2.0,0.0,7.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,March,201303,11306,2013,9,98.9069,,,1.0
2013-03-17,11.0,36.0,0.0,25.0,0.0,0.0,5.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,March,201303,11307,2013,10,98.9069,,,1.0
2013-03-24,5.0,42.0,0.0,21.0,0.0,0.0,1.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,March,201303,11308,2013,11,98.9069,StPatricksDay,,0.0
2013-03-31,3.0,51.0,0.0,16.0,3.0,0.0,7.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,March,201303,11309,2013,12,98.9069,,,0.0
2013-04-07,7.0,83.0,0.0,19.0,0.0,0.0,5.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,March,201303,11310,2013,13,98.9069,Easter,,0.0
2013-04-14,9.0,59.0,0.0,56.0,5.0,0.0,7.0,2.5,1.38,2.48,3.5,3.98,6.98,3.47,April,201304,11311,2013,14,99.13524,,,1.0
2013-04-21,3.0,67.0,0.0,45.0,4.0,0.0,7.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,April,201304,11312,2013,15,99.13524,,,0.0
2013-04-28,8.0,48.0,12.0,47.0,0.0,0.0,8.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,April,201304,11313,2013,16,99.13524,,,0.0
2013-05-05,8.0,43.0,6.0,4.0,2.0,0.0,10.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,April,201304,11314,2013,17,99.13524,,,0.0
2013-05-12,9.0,59.0,7.0,0.0,2.0,0.0,8.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,May,201305,11315,2013,18,99.49946,OrthodoxEaster,Cinco De Mayo,1.0
2013-05-19,9.0,56.0,0.0,12.0,3.0,0.0,10.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,May,201305,11316,2013,19,99.49946,Mother's day,,0.0
2013-05-26,8.0,54.0,0.0,33.0,3.0,0.0,6.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,May,201305,11317,2013,20,99.49946,,,0.0
2013-06-02,7.0,49.0,0.0,23.0,5.0,0.0,10.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,May,201305,11318,2013,21,99.49946,,,0.0
2013-06-09,17.0,48.0,0.0,27.0,1.0,0.0,5.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,June,201306,11319,2013,22,99.68776,,,1.0
2013-06-16,9.0,71.0,0.0,24.0,2.0,0.0,12.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,June,201306,11320,2013,23,99.68776,,,1.0
2013-06-23,7.0,70.0,0.0,59.0,3.0,0.0,9.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,June,201306,11321,2013,24,99.68776,Father's day,,0.0
2013-06-30,8.0,53.0,0.0,46.0,2.0,0.0,9.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,June,201306,11322,2013,25,99.68776,,,0.0
2013-07-07,10.0,69.0,0.0,39.0,0.0,0.0,22.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,June,201306,11323,2013,26,99.68776,,,0.0
2013-07-14,9.0,66.0,0.0,54.0,0.0,0.0,22.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,July,201307,11324,2013,27,99.64718,,,1.0
2013-07-21,6.0,62.0,0.0,48.0,2.0,0.0,15.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,July,201307,11325,2013,28,99.64718,,,0.0
2013-07-28,4.0,38.0,0.0,63.0,3.0,0.0,13.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,July,201307,11326,2013,29,99.64718,,,0.0
2013-08-04,11.0,45.0,0.0,39.0,0.0,9.0,15.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,July,201307,11327,2013,30,99.64718,,,0.0
2013-08-11,4.0,49.0,0.0,20.0,4.0,9.0,13.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,August,201308,11328,2013,31,99.3448,,,1.0
2013-08-18,10.0,149.0,0.0,25.0,4.0,9.0,8.0,2.5,1.0,2.18,3.5,3.98,6.48,3.47,August,201308,11329,2013,32,99.3448,,,0.0
2013-08-25,12.0,226.0,0.0,54.0,1.0,12.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,August,201308,11330,2013,33,99.3448,,,0.0
2013-09-01,4.0,179.0,17.0,44.0,5.0,12.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,August,201308,11331,2013,34,99.3448,,,0.0
2013-09-08,4.0,189.0,11.0,30.0,2.0,6.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11332,2013,35,98.9345,,,1.0
2013-09-15,9.0,293.0,19.0,15.0,1.0,14.0,27.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11333,2013,36,98.9345,,,1.0
2013-09-22,13.0,185.0,12.0,45.0,3.0,13.0,19.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11334,2013,37,98.9345,,,0.0
2013-09-29,6.0,92.0,15.0,48.0,2.0,12.0,20.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11335,2013,38,98.9345,,,0.0
2013-10-06,4.0,83.0,23.0,43.0,1.0,15.0,12.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11336,2013,39,98.9345,,,0.0
